n,mae,rmse,nse,kge,bias,catchment_id,high_flow_days
1640,2.6655201142563985,4.773310312250789,0.8096190728442325,0.8549678693727105,0.32389751963080116,05022,46
1747,1.2456269037312115,8.380495840675138,0.4538570729915731,0.6395904706870172,-0.16522925296329016,04012,47
1661,2.8688469190603096,13.820095429402915,0.5035309959186585,0.6556403591090927,-0.21461434435507215,04028,39
1716,6.835526736269306,31.978158677188915,0.4705864068132968,0.55184861251712,-0.9593094119626109,03040,29
1797,4.206290900955619,32.03972584781124,0.72373584156781,0.5495892789893623,-2.434762027952299,04061,63
1691,6.996221604604001,44.10228978784631,0.7125995647016894,0.6312461249915092,-2.37513113957428,04007,58
1713,7.823945202229049,44.20445687815423,0.572615147129891,0.6649883919366724,-1.5409129639885684,07005,54
1679,18.153316280974618,52.98790408805611,0.8617669391141721,0.8640094803904791,-4.691040190420451,05010,61
1717,10.376359232389385,53.212761843920944,0.7051977366316657,0.8006920497506498,-0.9476140116280961,04022,42
1801,13.264101439796567,74.40280146866503,0.8329451942437673,0.7771680121863622,-5.798864169754215,04054,37
1641,6.855842985897811,77.29687914121102,0.1772729489253324,0.2875027096385654,-1.9053848423114237,05018,36
1739,22.077177889200517,80.04581608537309,0.6704753651502243,0.830749893643216,0.6998616739980057,05013,80
1691,11.412501919584013,88.57047125386234,0.24627841855428811,0.22560475243702116,-4.751240097708872,03013,30
1795,27.362359926766985,95.13043893919884,0.7601400837234505,0.8311002596881829,3.552978161486611,04063,70
1728,16.257550203954377,98.23866148244463,0.43791079994898086,0.5550691250047912,-3.163528640141467,03094,44
1767,31.190571251421265,105.93286424555743,0.7042520978187636,0.8155478614624248,2.74763843792205,04021,46
1738,22.073138206444387,106.35670714634817,0.671068401166832,0.6850605341543599,-7.808186462721162,04038,31
1823,29.48225369556324,120.87338029334596,0.5275511291967591,0.6940500477859795,1.8538943513586972,07008,17
1643,36.67790966059143,129.23222829537025,0.8416946088918885,0.7944558411145146,-6.021685199150328,05002,37
1782,27.58930823780305,136.12304036326773,0.7532751741176404,0.8424791195708264,-5.391243643415537,04064,47
1826,26.58940695809024,138.88604268871623,0.6852940689580576,0.6701873108054859,-7.60299644740237,06001,81
1826,41.50351864021284,162.07903536922802,0.9459959536099964,0.9459463080063134,-10.085272605309545,04026,67
1725,27.564517495750085,170.40391414435985,0.44325297854560464,0.5012426241868102,-6.923199750358829,03048,39
1739,31.88638364588521,203.4827724578861,0.5985490373612774,0.6023942980562643,-7.814586263373479,07002,39
1741,44.37408770787078,220.95512747763456,0.7143043044504418,0.6698124600690829,-17.11766994756951,04004,57
1826,81.07157415783114,343.4085087313685,0.8157912235371528,0.7708368380106616,-27.862360766199203,07007,78
1700,65.52038601029454,402.2948835207901,0.6267193772034161,0.6996654633386445,-18.381458315770356,03008,49
1747,56.9624632645413,431.29116110532584,0.44624012176937733,0.2017950521560986,-39.14494224007301,04030,112
1705,128.26025937363872,544.1681330084144,0.8066064630676932,0.8019579625678921,-41.90945878274666,03005,61
1727,139.24743573142447,1199.0458572555056,0.4214735736573335,0.4464667704958182,-53.456156348143345,04062,18
