catchment_id,target_day,observed_peak,classical_error_at_observed_peak,dl_error_at_observed_peak
03005,2014-07-25 00:00:00,16908.369140625,-4219.409234586976,-7259.001953125
03008,2015-09-18 00:00:00,10219.5595703125,-8696.856265835331,-8245.923828125
03013,2016-07-12 00:00:00,2163.889892578125,-1705.5881860050577,-1643.1270751953125
03040,2016-09-02 00:00:00,714.9400024414062,-548.2289045055795,-560.694091796875
03048,2016-07-09 00:00:00,6132.97998046875,-5177.961081967876,-5142.42578125
03094,2014-07-23 00:00:00,2614.669921875,-2162.6502801783836,-2198.75
04004,2014-08-05 00:00:00,5830.080078125,-2805.829450876661,106.02685546875
04007,2017-10-04 00:00:00,607.77001953125,-127.09492377142459,-7.0738525390625
04012,2016-09-23 00:00:00,291.1499938964844,-260.5379434888822,-266.12750244140625
04021,2014-07-24 00:00:00,1699.6199951171875,-425.46227994282026,253.3306884765625
04022,2016-09-24 00:00:00,1769.3299560546875,-1120.060714383636,-1274.356201171875
04026,2016-08-09 00:00:00,4982.60009765625,-331.44259130579485,-1451.80224609375
04028,2015-06-21 00:00:00,347.3299865722656,-268.9211166726988,-245.08856201171875
04030,2016-09-24 00:00:00,2611.199951171875,-1192.835946143873,698.382568359375
04038,2017-09-15 00:00:00,2647.159912109375,-1145.0452945726565,-1163.55126953125
04054,2017-09-16 00:00:00,2076.780029296875,-739.2770985701047,-1198.931396484375
04061,2016-10-04 00:00:00,970.8599853515625,-665.3618566719869,-546.1283569335938
04062,2018-01-09 00:00:00,21581.9296875,-10977.038038507606,17814.6640625
04063,2018-08-23 00:00:00,1793.8399658203125,-653.0396531925239,-659.0997314453125
04064,2014-09-02 00:00:00,2083.85009765625,-414.36053416722393,-418.28173828125
05002,2014-08-09 00:00:00,2511.419921875,-828.8689729290745,-91.348388671875
05010,2014-08-02 00:00:00,1058.0,-133.93380638377096,-22.8978271484375
05013,2015-06-27 00:00:00,792.72998046875,-196.97350012577044,-165.1409912109375
05018,2014-10-28 00:00:00,497.94000244140625,-146.66222119399566,-299.593505859375
05022,2017-05-27 00:00:00,76.55000305175781,-72.84914777035169,-65.41009521484375
06001,2017-07-24 00:00:00,3589.64990234375,-2732.5980428862413,-2532.1796875
07002,2014-08-05 00:00:00,7688.56005859375,-6151.148925340513,-5583.8076171875
07005,2014-08-05 00:00:00,1158.550048828125,-946.4450467460747,-878.1708374023438
07007,2017-07-27 00:00:00,12999.9296875,-8697.721200389278,-8451.716796875
07008,2017-07-27 00:00:00,4959.2001953125,-3247.235678132306,-3591.83349609375
