n,mae,rmse,nse,kge,bias,run_id,model,task,training_rows,training_scope,validation_rows,duration_seconds,seed
54601,41.45701534598441,286.21257344386396,0.8158741614022444,0.7557502603189249,-13.487534461307822,flood-screen-regression-random_forest-s42,random_forest,regression,150000,capped_150000,54601,54.957581700000446,42
54601,41.45444388578457,298.58761750443625,0.7996077564334712,0.7180295049161913,-15.864698966307131,flood-screen-regression-extra_trees-s42,extra_trees,regression,150000,capped_150000,54601,32.02532760000031,42
54601,49.08964571249784,311.1056166443675,0.7824530372320362,0.8260587919195981,-7.94385726364448,flood-screen-regression-decision_tree-s42,decision_tree,regression,150000,capped_150000,54601,5.084796199998891,42
54601,42.07049560257746,315.84815640987426,0.775769847016849,0.742523129520098,-12.507081071225517,flood-screen-regression-xgboost-s42,xgboost,regression,150000,capped_150000,54601,4.596272000000681,42
54601,42.486236650344196,321.1479264065914,0.7681817809322937,0.7449780134942581,-12.729678581848166,flood-screen-regression-lightgbm-s42,lightgbm,regression,150000,capped_150000,54601,2.4399250999995274,42
54601,42.54126902284116,324.5992947892404,0.7631723178205625,0.7477551064930412,-11.991083486649382,flood-screen-regression-hist_gradient_boosting-s42,hist_gradient_boosting,regression,196500,capped_196500,54601,4.706282600000122,42
54601,43.49808878234144,336.6954554888139,0.745192721214629,0.7004191086991705,-14.746588804850143,flood-screen-regression-catboost-s42,catboost,regression,150000,capped_150000,54601,7.8991101999999955,42
54601,45.50901707906628,358.1593344602455,0.7116699751622191,0.5912808942974019,-23.77414411417309,flood-screen-regression-gradient_boosting-s42,gradient_boosting,regression,80000,capped_80000,54601,74.4563036999989,42
54601,61.7110365125632,360.49463801645476,0.7078977249478908,0.5748865146216231,-30.430388466786376,flood-screen-regression-knn-s42,knn,regression,50000,capped_50000,54601,3.5980262000011862,42
54601,61.32409581358611,489.5794013892211,0.4612545757031671,0.35525515399837515,-34.379017767744045,flood-screen-regression-adaboost-s42,adaboost,regression,80000,capped_80000,54601,50.26497660000132,42
54601,54.17749965850552,527.6149350181839,0.37429232572209814,0.6671279057914319,-13.289493633278267,flood-screen-regression-small_mlp-s42,small_mlp,regression,100000,capped_100000,54601,34.79580220000025,42
54601,75.07868507523241,554.2888372964763,0.3094270137028998,0.44667197926954316,-18.957823725964673,flood-screen-regression-rbf_svr-s42,rbf_svr,regression,20000,capped_20000,54601,189.68724389999988,42
54601,8572.5767644548,879791.1263136883,-1739787.5779438566,-1318.6300123063475,8481.457957968862,flood-screen-regression-elastic_net-s42,elastic_net,regression,150000,capped_150000,54601,16.204339100000652,42
54601,13359.980878819919,1528347.9124356657,-5250270.678905696,-2291.4963342760852,13269.842249675108,flood-screen-regression-ridge-s42,ridge,regression,196500,capped_196500,54601,1.6534616999997525,42
54601,115920240.67884335,18389999759.218758,-760152569330173.9,-27582790.42991983,115920159.47035316,flood-screen-regression-linear_svr-s42,linear_svr,regression,100000,capped_100000,54601,8.34047769999961,42
