FID,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_accu,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,geometry_lon,geometry_lat,event_date,exact_duplicate,proxy_storm_group
14,The Hindu,https://www.thehindu.com/news/national/kerala/jvx8ru/article24937709.ece,14391,1536796800000.0,unknown,Landslip at Anpathi Monnam Mile Forest,Landslip formed a lake on two acres of forestland at Anpathi moonnam mile forest under the Begur range of forest in North Wayanad.,"Anpathi moonnam mile forest, Begur Range, Wayanad, IND",50km,landslide,monsoon,large,above_river,0,0, ,https://th.thgim.com/news/national/kerala/jvx8ru/article24937709.ece/alternates/FREE_660/13tvwynewlyformedlake1, ,GLC, ,11.84413018,76.08364903,India,IN,Kerala,Chambagapara,2.28,1595980800000.0,1606348800000,76.083649032,11.844130181,2018-09-13 00:00:00+00:00,False,prox:23:152:5929
18,onmanorama,https://www.onmanorama.com/districts/malappuram/2018/09/03/flood-damage-compensation-fraud-malappuram.html,14477,1535932800000.0,unknown,Trikkalangode Landslip,Soil landslip occurred at Trikkalangode panchayat near semi-hilly Manjeri following heavy rain.,"Trikkalangode, Malappuram, Kerala, IND",5km,landslide,rain,small,engineered_slope,0,0, ,https://img.onmanorama.com/content/dam/mm/en/districts/malappuram/images/2018/9/3/compensation-fraud.jpg, ,GLC, ,11.16100669,76.12754727,India,IN,Kerala,Karuvambram,5.19,1596844800000.0,1606348800000,76.1275472690001,11.16100669,2018-09-03 00:00:00+00:00,False,prox:22:152:5925
19,The Hindu,https://www.thehindu.com/news/national/kerala/quarrying-causes-landslips/article24866542.ece,14430,1534377600000.0,unknown,Cherumkad Landslip,4 major landslips occurred in 2 days in the forest areas of Athavand Hills including a massive landslip close to an illegal quarry in Cherumkad that killed 10 members of 3 families.,"Cherumkad, Athavand, Kerala, IND",25km,landslide,rain,medium,other,10,0, , , ,GLC, ,10.86885351,76.03846723,India,IN,Kerala,Valancher,3.49,1596844800000.0,1606348800000,76.038467228,10.868853512,2018-08-16 00:00:00+00:00,False,prox:21:152:5919
31,The Tribune,https://www.tribuneindia.com/news/archive/j-k/state-nhai-pass-the-buck-over-condition-of-nhs-647297,14350,1535500800000.0,unknown,Kheri Landslide,"Landslide triggered by rain occurred at Kheri near Udhampur, blocking the Jammu-Srinagar National Highway and causing heavy traffic even after the debris was cleared.","Kheri, Jammu, Jammu & Kashmir, IND",5km,landslide,rain,medium,above_road,0,0, , , ,GLC, ,32.79349919,74.82127414,India,IN,Jammu and Kashmir,Kurwanda,3.47,1597104000000.0,1606348800000,74.8212741400001,32.7934991870001,2018-08-29 00:00:00+00:00,False,prox:65:149:5924
50,The New Indian Express,https://www.newindianexpress.com/states/kerala/2018/aug/09/two-killed-after-house-tumbles-in-landslide-in-kannurs-keezhanganam-1855253.html,14322,1533427200000.0,19:00,Keezhanganam Landslide,2 people were killed after their house was destroyed in a landslide in Keezhanganam.,"Keezhanganam, Kannur, Kerala, IND",1km,landslide,rain,large,unknown,2,0, , , ,GLC, ,12.00218517,75.77401073,India,IN,Kerala,Virarajendrapet,21.38,1595289600000.0,1606348800000,75.7740107290001,12.0021851710001,2018-08-05 00:00:00+00:00,False,prox:24:151:5916
52,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/traffic-restored-on-hatkoti-highway-after-24-hours-647198,14326,1535846400000.0,unknown,Landslip on Theog-Hatkoti-Rohru Highway,"During India's rainy season a landslide occurred on the Theog-Hatkoti-Rohru Highway blocking the road, but was cleared after 24 hours. This was one slide of many in the area causing various traffic delays.","Theog-Hatkoti-Rohru highway, Shimla, Himachal Pradesh, 171205",25km,landslide,rain,small,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/9/2018_9$largeimg03_Monday_2018_231924595.jpg, ,GLC, ,31.11294766,77.61442829,India,IN,Himachal Pradesh,Saura,13.0,1597536000000.0,1606348800000,77.6144282880001,31.112947658,2018-09-02 00:00:00+00:00,False,prox:62:155:5925
54,Scroll.in,https://scroll.in/article/893138/in-keralas-wayanad-record-landslides-and-cave-ins-raise-alarm-over-its-fragile-ecology,14438,1533772800000.0,unknown,Vythiri Landslide,"Landslide during monsoon season washed into the police station in Vythiri gram panchayat. Additonally, a 2 story shopping complex sank to the ground.","Vythiri, Wayanad, Kerala, 673576",1km,landslide,monsoon,large,deforested_slope,0,0, ,https://s01.sgp1.digitaloceanspaces.com/inline/893138-pgptrwjcgh-1536060822.jpg,Landslide occurred on same day as many other events in Wayanad district.,GLC, ,11.54868241,76.03927146,India,IN,Kerala,Meppadi,11.41,1595030400000.0,1606348800000,76.039271458,11.5486824130001,2018-08-09 00:00:00+00:00,False,prox:23:152:5917
56,Scroll.in,https://scroll.in/article/893138/in-keralas-wayanad-record-landslides-and-cave-ins-raise-alarm-over-its-fragile-ecology,14447,1533772800000.0,10:00,Kurichiyarmala Debris Flow,300 villagers were able to escape a debris flow in Kurichiyarmala during monsoon season that destroyed 100 acres of tea plantations and a government school.,"Kurichiyarmala (Kurichiar Mala), Wayanad, Kerala, IND",10km,debris_flow,monsoon,large,unknown,0,0, , ,Occurred on same day as many other events in Wayanad.,GLC, ,11.58288514,75.96672472,India,IN,Kerala,Tharuvana,16.86,1595030400000.0,1606348800000,75.9667247200001,11.5828851420001,2018-08-09 00:00:00+00:00,False,prox:23:151:5917
58,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/landslide-blocks-kangra-highway-640047,14483,1534723200000.0,06:00,Kangra-Chandigarh National Highway Landslide,"A landslide induced by heavy rain from the day prior fell on the Kangra-Chandigarh National Highway, causing closure in both lanes for hours.","Kangra-Chandigarh National Highway, Himachal Pradesh, IND",50km,landslide,rain,large,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/8/2018_8$largeimg20_Monday_2018_231548496.jpg, ,GLC, ,31.49579417,76.23393204,India,IN,Himachal Pradesh,Gobindpur,16.55,1598227200000.0,1606348800000,76.2339320390001,31.4957941690001,2018-08-20 00:00:00+00:00,False,prox:62:152:5921
60,Khaleej Times,https://www.pressreader.com/uae/khaleej-times/20181031/281947428849053,14397,1540857600000.0,unknown,"Landslide closes highway, 1 dead",A landslide that shut down a stretch of the Jammu-Srinagar highway in Ramban district. One man was kidded after being hit by rubble sliding down mountain sides in Digdol area.,Jammu-Srinagar highway in Digol area,1km,landslide,continuous_rain,medium,above_road,1,0, , ,Night-long rains in Ramban district triggered the landslide. Multiple landslide were reported.,GLC, ,33.30077774,75.18148186,India,IN,Jammu and Kashmir,Gund,14.88,1596412800000.0,1606348800000,75.181481859,33.3007777380001,2018-10-30 00:00:00+00:00,False,prox:66:150:5944
